,trn_loss,val_loss,val_rel_err,val_rel_err_o,val_rel_err_h
0,0.022993176302876644,0.0022366793314891062,0.038142691169241655,0.04443235197038032,0.0378655757567736
1,0.0014973241002787388,0.0010728290431579537,0.020057638656188433,0.020791074241413826,0.020025323914545503
2,0.0008759201147817862,0.0006513447025782139,0.014845556354648501,0.012749918405842995,0.014937887315116338
3,0.0005108905178926883,0.0003704139395710312,0.013743372455997766,0.013411538257459577,0.01375799245720765
4,0.0002531790054443134,0.00017720043691656187,0.00968052207045419,0.010130207000553497,0.009660709397271877
5,0.0001288479878364462,8.632189808992211e-05,0.006528887342751803,0.006944282085609909,0.00651058542306872
6,8.241476264622116e-05,8.329069878426042e-05,0.00731250769293952,0.007980334331714481,0.00728308410435212
7,7.188805866891704e-05,5.751913415618466e-05,0.006090913225175763,0.006428858227993135,0.006076023747715556
8,7.552088687032626e-05,6.64493956611131e-05,0.006741983181560524,0.00825917316672365,0.006675137683557269
9,6.686105900483113e-05,5.5718326831004085e-05,0.006162967404823526,0.0065692997202832165,0.006145064928294301
10,6.484041309159687e-05,5.538074017886372e-05,0.006162005804148447,0.006635877726949904,0.006141127523353923
11,6.644600761664394e-05,3.8389390518973815e-05,0.004789612876727696,0.005368550315853105,0.004764105490750496
12,5.355300734941375e-05,4.200241554646697e-05,0.005379269155948281,0.005533701777492877,0.005372465019010835
13,5.189520094884342e-05,6.253006545953108e-05,0.007208885589451486,0.008481441343447147,0.007152818329805713
14,5.4743058036951825e-05,4.2427628440632485e-05,0.0052897880376448995,0.005538519257407873,0.0052788292100013675
15,6.638544107310955e-05,5.753520485643132e-05,0.0066228714840362935,0.007655756816864569,0.00657736379271668
16,7.927815911018932e-05,4.063278244956672e-05,0.005216121727925587,0.006155190343056903,0.0051747474756986735
17,5.5781464933264977e-05,3.3720050811597255e-05,0.004786304178405473,0.004751961806894255,0.004787817188237419
18,6.18564212535208e-05,3.8319285804724346e-05,0.005326839822357778,0.005548608685311214,0.005317068923828969
19,5.3372669920569095e-05,4.225633605571762e-05,0.005503073434561056,0.006228122312441459,0.005471128488970026
20,4.714282937261716e-05,5.1267081427303054e-05,0.006567326395452707,0.0070011425421710235,0.006548212880175041
21,6.888232475874626e-05,9.036487838116658e-05,0.009092603144735967,0.010791094947090659,0.009017769395287624
22,9.463851610472673e-05,4.006443036275596e-05,0.005503259624934378,0.005803727955296682,0.005490021289902619
23,7.112289488238334e-05,5.7056825448133684e-05,0.006979273020536688,0.008097303361810564,0.006930013944254408
24,4.217603404565951e-05,5.666814446533105e-05,0.007023329828639788,0.007990448071414975,0.006980719692278988
25,4.4396809970077764e-05,3.77142272287322e-05,0.005276658622117876,0.006006618985972147,0.0052444973965143655
26,4.2530310784262353e-05,3.4972686742657224e-05,0.005240048106828003,0.00547761223750093,0.005229581172868822
27,3.7120412871795316e-05,2.998132627035691e-05,0.0047407773896256345,0.004847559981796172,0.004736072538896914
28,4.479601748181921e-05,7.783701485327129e-05,0.00855909002231449,0.009623109926669069,0.008512210551808888
29,5.878999234822623e-05,4.471122758963228e-05,0.006097595361746445,0.006864408275643208,0.006063810358035554
30,5.8113957043949045e-05,5.1319858127828305e-05,0.006567135934205177,0.0070331053083391385,0.006546605807052108
31,4.341479175317828e-05,4.605029884404673e-05,0.0061020166772139655,0.007137981961145396,0.006056373450710842
32,7.682201778377068e-05,5.431205577938478e-05,0.0068251124937561344,0.007581788199317244,0.0067917742028781565
33,5.1347027511041366e-05,5.4386212480526755e-05,0.00682015651472787,0.007515459848090331,0.006789522224425585
34,5.628809251308092e-05,3.520151535218718e-05,0.005124479229316291,0.005807195993748503,0.005094399516315221
35,6.408132177649485e-05,2.9413502392776975e-05,0.0044254517002918015,0.005173681925896677,0.004392485545189678
36,3.67357010763005e-05,3.109678468161818e-05,0.004663698570912647,0.005469909404629343,0.0046281778364321464
37,4.8014658830444727e-05,2.7710501698200315e-05,0.004305474462870954,0.004952896242293002,0.004276949749140313
38,4.336441213743875e-05,3.868498127414827e-05,0.005690293207944994,0.006150799035138036,0.005670003878839504
39,6.725334102943908e-05,8.419625600966123e-05,0.009064786331548889,0.0101924666540592,0.009015101986266049
40,9.054324412147178e-05,9.294701569063576e-05,0.009507777605813937,0.010080620469577486,0.009482538658249164
41,8.4985804224771e-05,3.662990967838287e-05,0.005291694485594551,0.006013603604090539,0.0052598880071766455
42,0.0001060646601267986,0.00010069508247711499,0.009620653576385819,0.010300727155866607,0.009590690146176657
43,6.0341860973606256e-05,5.201531126367356e-05,0.00679520516575983,0.007743992003329528,0.006753402696789458
44,4.984312930526206e-05,8.281360033291526e-05,0.008785013974864501,0.009374188945451225,0.00875905548551303
45,7.428083412759966e-05,0.000153315269336157,0.012273798745835441,0.01321124869111456,0.012232495718106655
46,6.39721016151665e-05,6.999396450266147e-05,0.008004087315667664,0.00866129831396492,0.007975131340329504
47,5.383450691871312e-05,3.703324624300239e-05,0.005460541867341761,0.006715474671075464,0.005405251004818127
48,3.862930142814536e-05,7.424159502142084e-05,0.008275170239066668,0.009336838518945161,0.00822839429625151
49,7.884658504297195e-05,4.529521545756533e-05,0.006151492560882419,0.007231586526045697,0.006103904829097508
50,7.438034583946467e-05,3.263164286612882e-05,0.004831976351784317,0.005594974958345359,0.004798359539958722
